duplicate_group_id,duplicate_group_size,record_id,organization_facility_name,organization_street_name,organization_city_name,organization_state,organization_zip_code,organization_mailing_address,organization_mailing_state,organization_mailing_zip_code,duplicate_reason,completeness_score,recommended_primary_record,review_needed
421,3,5058,SUN BEHAVIORAL HOUSTON,7601 FANNIN STREET,HOUSTON,TX,77054,,,,Physical Address,7.05,NO,YES
421,3,707,CHILDRENS MEMORIAL HERMANN HOSPITAL,6411 FANNIN ST,HOUSTON,TX,77030,,,,Physical Address,6.15,NO,YES
426,2,719,GREATER HOUSTON PSYCHIATRIC ASSOCIATES,2901 WILCREST DR STE 520,HOUSTON,TX,77042,,,,Name,6.8,YES,YES
426,2,776,GREATER HOUSTON PSYCHIATRIC ASSOCIATES,4888 LOOP CENTRAL DR STE 510,HOUSTON,TX,77081,,,,Name,5.55,NO,YES
430,4,1914,WELLNESS COUNSELING CENTER OF TEXAS LLC,2616 S LOOP W STE 420,HOUSTON,TX,77054,2616 SOUTH LOOP WEST SUITE 420,TX,77054,Physical Address,11.4,YES,YES
430,4,724,UCHENNA KENNEDY OJIAKU MD,2626 S LOOP W STE 300,HOUSTON,TX,77054,,,,Physical Address,6.65,NO,YES
430,4,732,SIRTE MEDICAL PRIMARY CARE CLINIC,2646 S LOOP W STE 220,HOUSTON,TX,77054,,,,Physical Address,6.25,NO,YES
430,4,730,SIRTE MED PRIMARY CARE,2646 S LOOP W STE 220,HOUSTON,TX,77054,,,,Physical Address,6.1,NO,YES
431,2,733,UTHEALTH HOUSTON BEHAVIORAL AND BIOMEDICAL SCIENCES BUILDING,1941 E RD STE 2100,HOUSTON,TX,77054,,,,Physical Address,7.35,YES,YES
431,2,726,UT PHYSICIANS PSYCHIATRY OUTPATIENT CLINICBBSB,"1941 E RD, STE 2100",HOUSTON,TX,77054,,,,Physical Address,6.85,NO,YES
433,2,1912,SUN HOUSTON LLC,7505 FANNIN ST STE 430,HOUSTON,TX,77054,7505 FANNIN STREET SUITE 430,TX,77054,Physical Address,12.15,YES,YES
433,2,734,BLUE BONNET CLINIC,7505 FANNIN ST STE 211,HOUSTON,TX,77054,,,,Physical Address,6.75,NO,YES
447,2,1936,JAMES P RISHEL,16300 KUYKENDAHL RD STE 110,HOUSTON,TX,77068,"16300 KUYKENDAHL ROAD, SUITE 110",TX,77068,Physical Address,11.55,YES,YES
447,2,751,HOLIDAYS FAMILY CLINIC,16300 KUYKENDAHL RD STE 410,HOUSTON,TX,77068,,,,Physical Address,6.55,NO,YES
457,2,1943,THE HARRIS CENTER FOR MENTAL HEALTH AND IDD,9401 SW FWY STE 127,HOUSTON,TX,77074,9401 SOUTHWEST FREEWAY,TX,77074,Physical Address,12.9,YES,YES
457,2,763,CUFA BEHAVIORAL HEALTH SERVICES,9100 SW FWY STE 121,HOUSTON,TX,77074,,,,Physical Address,6.65,NO,YES
464,3,1944,PREVENTION AND RECOVERY CENTER INC,3043 GESSNER DR,HOUSTON,TX,77080,4281 KATELLA AVENUE #111,CA,90720,Physical Address,11.35,YES,YES
464,3,1945,PREVENTION AND RECOVERY CENTER INC,3033 GESSNER DR,HOUSTON,TX,77080,4281 KATELLA AVENUE #111,CA,90720,Physical Address,8.5,NO,YES
464,3,772,JENNY HAGGARD,3034 GESSNER RD,HOUSTON,TX,77080,,,,Physical Address,5.65,NO,YES
