duplicate_group_id,duplicate_group_size,record_id,organization_facility_name,organization_street_name,organization_city_name,organization_state,organization_zip_code,organization_mailing_address,organization_mailing_state,organization_mailing_zip_code,duplicate_reason,completeness_score,recommended_primary_record,review_needed
617,2,991,PAIN MANAGEMENT CENTER,1980 E MULBERRY,ANGLETON,TX,77515,,,,Physical Address,8.05,YES,YES
629,2,5037,UNIVERSITY OF TEXAS MEDICAL BRANCH HOSPITAL,301 University Boulevard,Galveston,TX,77550,,,,Physical Address,6.45,YES,YES
629,2,1006,UTMB DEPARTMENT OF PSYCHIATRY,301 UNIVERSITY BLVD,GALVESTON,TX,77555,,,,Physical Address,6.05,NO,YES
632,2,1014,COASTAL VASCULAR CENTER,201 OAK DR S STE 105,LAKE JACKSON,TX,77566,,,,Physical Address,6.1,YES,YES
632,2,1013,FIRSTPOINT PSYCHIATRY,201 OAK DR S STE 102,LAKE JACKSON,TX,77566,,,,Physical Address,6.05,NO,YES
634,2,1016,LA PORTE FAMILY PRACTICE,11006 SPENCER HWY,LA PORTE,TX,77571,,,,Physical Address,6.05,YES,YES
634,2,1018,KIMBERLEY DUNN NP,10006 SPENCER HWY,LA PORTE,TX,77571,,,,Physical Address,5.55,NO,YES
636,2,5038,DEVEREUX TEXAS TREATMENT NETWORK,1150 Devereux Drive,League City,TX,77573,,,,Physical Address,7,YES,YES
636,2,1020,DEVEREUX ADVANCED BEHAVIORAL HEALTH TEXAS,1150 DEVEREUX DR,LEAGUE CITY,TX,77573,,,,Physical Address,6.05,NO,YES
667,2,1057,SPINE SPORTS MEDICAL CENTER,3070 COLLEGE STE 406,BEAUMONT,TX,77701,,,,Physical Address,5.55,YES,YES
667,2,1058,BPN FAMILY MEDICINE CLINIC,3070 COLLEGE ST,BEAUMONT,TX,77701,,,,Physical Address,5.55,YES,YES
678,2,3228,MTR TREATMENT CORP,3201 UNIVERSITY DR E STE 280,BRYAN,TX,77802,3201 UNIVERSITY DRIVE EAST SUITE 280,TX,77802,Physical Address,12.25,YES,YES
678,2,1074,TEXAS WOUND LYMPHEDEMA CENTER,3201 UNIVERSITY DR E STE 175,BRYAN,TX,77802,,,,Physical Address,5.55,NO,YES
682,2,1079,UNIVERSITY HEALTH SERVICES,1264 TEXAS A and M UNIVERSITY,COLLEGE STATION,TX,77843,,,,Name,7.85,YES,YES
